127.0.0.1 - - [12/Aug/2018:12:14:10 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:14:11 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:14:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:30 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:31 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:16:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:17:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:17:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:17:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:18:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:18:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:18:38 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:33:10 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:33:10 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:33:10 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:33:10 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:33:10 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:33:10 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:46 +0530] "OPTIONS /fundoonotes/updatenote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:46 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 209
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:46 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:47 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 210
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:47 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:49 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 209
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:49 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:50 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 210
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:50 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:51 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 209
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:51 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:53 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 210
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:54 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 209
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:41:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:17 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 210
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:18 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 209
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:18 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:20 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 173
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:22 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 174
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:22 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:23 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 210
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:23 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:24 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 209
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:26 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 210
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:42:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:14 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:14 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:14 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:44:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:03 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:03 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:03 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:10 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:13 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:15 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:16 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:21 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:45:23 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:13 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:13 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:13 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:29 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:34 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:43 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:46:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:48:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:48:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:48:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:49:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:49:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:49:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [12/Aug/2018:12:50:50 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3303
