127.0.0.1 - - [07/Aug/2018:09:27:51 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:27:52 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:27:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:44:30 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:44:31 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:44:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:44:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:44:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:44:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:37 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:37 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:46:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 1527
