127.0.0.1 - - [20/Aug/2018:09:33:26 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:33:27 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:33:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6915
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:35:08 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6915
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6915
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6915
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:36 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:36 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6915
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:36 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:36 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:48 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:36:52 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:25 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:27 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:35 +0530] "OPTIONS /fundoonotes/createlabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:35 +0530] "POST /fundoonotes/createlabel HTTP/1.1" 201 40
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:35 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:35 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:40 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:39:56 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:40:16 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:46:43 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:46:43 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:46:49 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:54:01 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:54:10 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:55:09 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 71
