127.0.0.1 - - [27/Aug/2018:12:49:31 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:49:32 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:49:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:15 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "POST /fundoonotes/login HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "GET /fundoonotes/getimage/sherlock_a_study_in_pink_gn_credit21.jpg HTTP/1.1" 200 38974
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:16 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:12:53:17 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getimage/sherlock_a_study_in_pink_gn_credit21.jpg HTTP/1.1" 200 38974
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:43 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:44 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:44 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:00:44 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:17 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:17 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:24 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:24 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:24 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:24 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:26 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:26 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:27 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:29 +0530] "OPTIONS /fundoonotes/addlabel/4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:29 +0530] "PUT /fundoonotes/addlabel/4 HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:29 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:29 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:31 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:31 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:31 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:32 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:32 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:33 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:33 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:33 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:36 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:36 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:04:36 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:05:55 +0530] "OPTIONS /fundoonotes/updatenote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:05:55 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 240
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:05:55 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:25 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:25 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:25 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:25 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:25 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:25 +0530] "OPTIONS /fundoonotes/getlabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:26 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:26 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:26 +0530] "GET /fundoonotes/getimage/sherlock_a_study_in_pink_gn_credit21.jpg HTTP/1.1" 200 38974
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:19:26 +0530] "GET /fundoonotes/getlabels HTTP/1.1" 200 595
