127.0.0.1 - - [28/Jul/2018:09:44:36 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [28/Jul/2018:09:44:36 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [28/Jul/2018:09:44:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Jul/2018:09:44:42 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jul/2018:09:44:42 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2018:09:45:13 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2018:10:29:49 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jul/2018:10:29:50 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2018:10:40:32 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jul/2018:10:40:32 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2018:12:28:34 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jul/2018:12:28:34 +0530] "POST /fundoonotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [28/Jul/2018:12:28:36 +0530] "POST /fundoonotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [28/Jul/2018:12:28:41 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2018:15:37:45 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jul/2018:15:37:46 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
