127.0.0.1 - - [08/Aug/2018:09:41:49 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:42:31 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:42:32 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:42:32 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:42:32 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:42:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:42:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:44:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:44:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:12 +0530] "OPTIONS /fundoonotes/updatenote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:12 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 208
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:12 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:17 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 207
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:17 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:19 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 208
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:19 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:20 +0530] "PUT /fundoonotes/updatenote HTTP/1.1" 201 254
0:0:0:0:0:0:0:1 - - [08/Aug/2018:09:45:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 3693
