127.0.0.1 - - [16/Aug/2018:09:45:20 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:21 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:31 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:31 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:31 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:45:32 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:36 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:49:50 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:20 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:50:26 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:09:51:11 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:01 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:39 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:39 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:39 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:40 +0530] "GET /fundoonotes/getimage/htc.png HTTP/1.1" 200 198161
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:40 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:40 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:40 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:40 +0530] "GET /fundoonotes/getimage/samsung.png HTTP/1.1" 200 162053
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:53 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [16/Aug/2018:10:06:54 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 4785
