127.0.0.1 - - [17/Aug/2018:09:36:42 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:36:45 +0530] "GET /fundoonotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:36:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:08 +0530] "OPTIONS /fundoonotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "POST /fundoonotes/login HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [17/Aug/2018:09:41:09 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "OPTIONS /fundoonotes/getnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:11:14 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:14 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:14 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:14 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:14 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:28 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:28 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:28 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:28 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:28 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:13:28 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:52 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:52 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:52 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:52 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:52 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:52 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:58 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:58 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:58 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:58 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:58 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:14:58 +0530] "GET /fundoonotes/getimage/Nokia.png HTTP/1.1" 200 159777
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:15:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:15:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:15:35 +0530] "GET /fundoonotes/getnotes HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:15:36 +0530] "GET /fundoonotes/getimage/sony-xperia-z3-large.jpg HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:15:36 +0530] "GET /fundoonotes/getimage/Sony.png HTTP/1.1" 200 116174
